hapid	total_reads	total_samples	strain	refid_PvP01	snv_dist_from_PvP01	indel_dist_from_PvP01	bimera
ASV600	322	3	N	PVP01_0513400	1	0	FALSE
ASV601	319	8	N	PVP01_0302300	1	0	FALSE
ASV602	319	10	N	ApiAP2_2	0	12	FALSE
ASV603	318	10	N	RBP2a_2	2	0	FALSE
ASV604	316	10	N	VPS53	1	0	FALSE
ASV605	315	13	N	RON1	2	0	FALSE
ASV606	313	4	PvP01	CCR4-3	0	0	FALSE
ASV607	311	11	N	PVP01_1415900	3	0	FALSE
ASV608	308	19	N	CWC2	2	0	FALSE
ASV609	307	17	N	TERT	3	0	FALSE
ASV610	304	7	N	PVP01_0405000_2	2	0	FALSE
ASV611	302	2	N	PVP01_1323700	5	0	FALSE
ASV612	297	18	N	PVP01_1002800	3	0	FALSE
ASV613	296	5	N	pvmrp1_10	1	0	FALSE
ASV614	294	1	N	PVP01_1413100_2	2	0	FALSE
ASV615	293	6	N	NUP637	2	0	FALSE
ASV616	288	3	N	CCR4-3	2	1	FALSE
ASV617	287	15	PvP01	SRPR_alpha	0	0	FALSE
ASV618	282	19	PvP01	GCN1	0	0	FALSE
ASV619	281	10	N	ApiAP2_2	8	0	FALSE
ASV620	279	7	N	PVP01_0602400	2	0	FALSE
ASV621	278	8	N	PIGO	1	30	FALSE
ASV622	276	12	PvP01	PVP01_0420500	0	0	FALSE
ASV623	276	3	N	PVP01_0615400	1	0	FALSE
ASV624	274	8	N	PVP01_1024100	2	0	FALSE
ASV625	273	8	N	RBP2b_2	1	0	FALSE
ASV626	273	10	N	PVP01_1101300	1	0	FALSE
ASV627	272	43	N	PVP01_0735100	106	2	TRUE
ASV628	268	4	N	PVP01_1004400	3	0	FALSE
ASV629	268	2	N	VPS11	1	0	FALSE
ASV630	266	6	N	LSM8	1	1	FALSE
ASV631	265	12	N	PVP01_1345500	1	0	FALSE
ASV632	265	10	N	PVP01_1002800	4	0	FALSE
ASV633	263	1	N	PVP01_1301600_2	1	0	FALSE
ASV634	259	1	N	PVP01_1329500	1	0	FALSE
ASV635	255	9	N	NCS2	2	0	FALSE
ASV636	255	3	N	PVP01_0302300	2	0	FALSE
ASV637	253	14	N	PVP01_1226900	1	0	FALSE
ASV638	253	4	N	CWC2	2	0	FALSE
ASV639	253	7	N	pvpi3k_6	1	0	FALSE
ASV640	251	5	N	SEC24B	3	0	FALSE
ASV641	250	5	N	PVP01_1027500	1	0	FALSE
ASV642	247	8	N	PABP3	2	0	FALSE
ASV643	245	1	N	PVP01_0530700	4	30	FALSE
ASV644	244	2	N	PVP01_0213400	1	0	FALSE
ASV645	239	2	N	PVP01_0302700	1	0	FALSE
ASV646	237	8	N	SNRPB2	3	0	FALSE
ASV647	234	3	N	PVP01_0513400	1	0	FALSE
ASV648	233	19	PvP01	PVP01_0624400	0	0	FALSE
ASV649	229	2	N	DBP_1	2	0	FALSE
ASV650	229	5	N	PVP01_0210500	2	0	FALSE
ASV651	227	7	N	pvpi3k_6	1	0	FALSE
