Sample_id,order_in_plate,typeofSamp,Run,Country,Strata,sample_ampl_rate
G4G2493,49,Samples,Run2,Guyana,Guyana,0.296875
G4G2494,48,Samples,Run2,Guyana,Guyana,0.651041666666667
G4G2496,60,Samples,Run2,Guyana,Guyana,0.385416666666667
G4G2497,58,Samples,Run2,Guyana,Guyana,0.276041666666667
G4G2502,51,Samples,Run2,Guyana,Guyana,0.65625
G4G2505,57,Samples,Run2,Guyana,Guyana,0.65625
G4G2510,55,Samples,Run2,Guyana,Guyana,0.0104166666666666
G4G2514,231,Samples,Run2,Guyana,Guyana,0.692708333333333
G4G2516,230,Samples,Run2,Guyana,Guyana,0.75
G4G2517,283,Samples,Run2,Guyana,Guyana,0.838541666666667
G4G2518,229,Samples,Run2,Guyana,Guyana,0.96875
G4G2520,225,Samples,Run2,Guyana,Guyana,0.630208333333333
G4G2526,203,Samples,Run2,Guyana,Guyana,0.984375
G4G2527,202,Samples,Run2,Guyana,Guyana,0.984375
G4G2528,132,Samples,Run2,Guyana,Guyana,0.833333333333333
G4G2532,226,Samples,Run2,Guyana,Guyana,0.614583333333333
G4G2533,227,Samples,Run2,Guyana,Guyana,0.588541666666667
G4G2539,228,Samples,Run2,Guyana,Guyana,0.286458333333333
G4G2541,146,Samples,Run2,Guyana,Guyana,0.635416666666667
G4G2544,147,Samples,Run2,Guyana,Guyana,0.510416666666667
G4G2545,86,Samples,Run2,Guyana,Guyana,0.838541666666667
G4G2546,128,Samples,Run2,Guyana,Guyana,0.130208333333333
G4G2549,87,Samples,Run2,Guyana,Guyana,0.817708333333333
G4G2555,85,Samples,Run2,Guyana,Guyana,0.348958333333333
G4G2556,77,Samples,Run2,Guyana,Guyana,0.916666666666667
G4G2564,131,Samples,Run2,Guyana,Guyana,0.692708333333333
G4G2566,148,Samples,Run2,Guyana,Guyana,0.239583333333333
G4G2569,145,Samples,Run2,Guyana,Guyana,0.833333333333333
G4G2573,89,Samples,Run2,Guyana,Guyana,0.984375
G4G2582,88,Samples,Run2,Guyana,Guyana,0.104166666666667
G4G2586,129,Samples,Run2,Guyana,Guyana,0.411458333333333
G4G2589,130,Samples,Run2,Guyana,Guyana,0.864583333333333
G4G2592,263,Samples,Run2,Guyana,Guyana,0.59375
G4G2594,264,Samples,Run2,Guyana,Guyana,0.348958333333333
G4G2597,265,Samples,Run2,Guyana,Guyana,0.869791666666667
G4G2602,250,Samples,Run2,Guyana,Guyana,0.291666666666667
G4G2603,249,Samples,Run2,Guyana,Guyana,0.630208333333333
G4G2607,248,Samples,Run2,Guyana,Guyana,0.119791666666667
G4G2608,247,Samples,Run2,Guyana,Guyana,0.302083333333333
G4G2610,246,Samples,Run2,Guyana,Guyana,0.770833333333333
G4G2623,232,Samples,Run2,Guyana,Guyana,0
G4G2626,284,Samples,Run2,Guyana,Guyana,0.0885416666666666
G4G2627,285,Samples,Run2,Guyana,Guyana,0.458333333333333
G4G2628,286,Samples,Run2,Guyana,Guyana,0.572916666666667
G4G2632,94,Samples,Run2,Guyana,Guyana,0.0208333333333334
G4G3225,386,Samples,Run2,Guyana,Guyana,0.630208333333333
G7B0268,117,Samples,Run2,Guyana,Guyana,0
G7B0419,41,Samples,Run2,Guyana,Guyana,0.114583333333333
G7B0472,143,Samples,Run2,Guyana,Guyana,0.984375
G7B0473,144,Samples,Run2,Guyana,Guyana,0.911458333333333
G7B0477,116,Samples,Run2,Guyana,Guyana,0.53125
G7B0480,115,Samples,Run2,Guyana,Guyana,0.739583333333333
G7B0481,114,Samples,Run2,Guyana,Guyana,0.234375
G7B0483,113,Samples,Run2,Guyana,Guyana,0.567708333333333
G7B0507,168,Samples,Run2,Guyana,Guyana,0.453125
G7B0508,169,Samples,Run2,Guyana,Guyana,0.00520833333333337
G7B0512,170,Samples,Run2,Guyana,Guyana,0.0989583333333334
G7B0525,166,Samples,Run2,Guyana,Guyana,0.171875
G7B0852,287,Samples,Run2,Guyana,Guyana,0.479166666666667
G7B0855,288,Samples,Run2,Guyana,Guyana,0.270833333333333
